,Const. No.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
649,94,DR. T. SEVAKUMAR (S.H.O SEVAKUMAR),Andhra Rastra Praja Samithi,244,11,255,0.14,Guntur West
650,94,KANAKA RATNAM GUNDU,Independent,290,0,290,0.15,Guntur West
651,94,KOTIKALA ANITHA,Independent,273,3,276,0.15,Guntur West
652,94,GANDIKOTA BALAJI,Independent,134,0,134,0.07,Guntur West
653,94,CHINTAPALLI VENKATA RAMAIAH,Independent,60,1,61,0.03,Guntur West
654,94,CHILLARA SUNITHA,Independent,26,0,26,0.01,Guntur West
655,94,PALLEBOYINA SWATHI,Independent,799,16,815,0.43,Guntur West
656,94,PALAKAYALA SRINIVAS RAO,Independent,16,0,16,0.01,Guntur West
657,94,MADHAVI TUMMURU,Independent,34,0,34,0.02,Guntur West
658,94,RACHA MALLIKARJUNA RAO,Independent,47,0,47,0.02,Guntur West
659,94,SIVA DURGA PRASANNA,Independent,22,0,22,0.01,Guntur West
660,94,SHAIK. MUNTAZ,Independent,47,0,47,0.02,Guntur West
661,94,SATTENAPALLI NARASIMHA RAO,Independent,26,0,26,0.01,Guntur West
662,94,NOTA,None of the Above,1020,35,1055,0.56,Guntur West
663,100,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,97893,822,98715,42.36,Gurajala
664,100,NAGENDLA YOBU,Bahujan Samaj Party,906,3,909,0.39,Gurajala
665,100,YARAPATHINENI SRINIVASA RAO,Telugu Desam,126958,1243,128201,55.01,Gurajala
666,100,YALAMANDA REDDY TIYYAGURA,Indian National Congress,2137,19,2156,0.93,Gurajala
667,100,KANAKAM.SRINIVASARAO,National Nava Kranthi Party,159,0,159,0.07,Gurajala
668,100,JULURI RAMESH,Jaibhim Rao Bharat Party,120,0,120,0.05,Gurajala
669,100,SRINIVASARAO GADDAM,Andhra Rastra Praja Samithi,93,0,93,0.04,Gurajala
670,100,SRINIVASARAO NEERUMALLA,Akhil Bharatiya Jan Sangh,156,1,157,0.07,Gurajala
671,100,KOPPARAPU VENKATA PURUSHOTHAMARAO,Independent,91,0,91,0.04,Gurajala
672,100,GANGAVARAPU MALLAMMA,Independent,89,3,92,0.04,Gurajala
673,100,CHEDILA NAGARJUNA,Independent,87,0,87,0.04,Gurajala
674,100,BADAM VENKATESWARA REDDY,Independent,146,0,146,0.06,Gurajala
675,100,RAMA RAO KOYA,Independent,232,0,232,0.1,Gurajala
676,100,NOTA,None of the Above,1873,15,1888,0.81,Gurajala
677,157,M H ENAYATHULLA,Indian National Congress,8894,64,8958,4.57,Hindupur
678,157,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,74176,477,74653,38.1,Hindupur
679,157,NANDAMURI BALAKRISHNA,Telugu Desam,105778,1472,107250,54.73,Hindupur
680,157,M SREERAMULU,Bahujan Samaj Party,644,2,646,0.33,Hindupur
681,157,KODUMURU NOUSHAD,Andhra Pradesh Rashtra Samithi,161,1,162,0.08,Hindupur
682,157,G.NAGARAJU,Jaibhim Rao Bharat Party,162,1,163,0.08,Hindupur
683,157,V.RAVINDRA,Socialist Unity Centre Of India (COMMUNIST),111,2,113,0.06,Hindupur
684,157,SHAIK SHOUKATH,Samajwadi Party,130,1,131,0.07,Hindupur
685,157,MOHAMED GOUS,Independent,94,0,94,0.05,Hindupur
686,157,G.LOKENDRANATH,Independent,125,1,126,0.06,Hindupur
687,157,K.SAI NANDI,Independent,111,0,111,0.06,Hindupur
688,157,SWAMI PARIPOORNANANDA SARASWATHI,Independent,1475,37,1512,0.77,Hindupur
689,157,SUMALATHA MADANNA GARI R,Independent,356,0,356,0.18,Hindupur
690,157,NOTA,None of the Above,1676,10,1686,0.86,Hindupur
691,1,ASHOK BENDALAM,Telugu Desam,108738,1874,110612,58.58,Ichchapuram
692,1,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,70130,699,70829,37.51,Ichchapuram
693,1,BISAI VEDAVARA,Bahujan Samaj Party,625,9,634,0.34,Ichchapuram
694,1,MASUPATRI CHAKRAVARTHI REDDY,Indian National Congress,760,32,792,0.42,Ichchapuram
695,1,BADDI MUKHALINGAM,Bharatha Chaitanya Yuvajana Party,165,4,169,0.09,Ichchapuram
696,1,VISWANADHAM LABALA,Jaibhim Rao Bharat Party,161,2,163,0.09,Ichchapuram
697,1,MURAPALA LAKSHMI,Independent,211,5,216,0.11,Ichchapuram
698,1,SUGGU CHAKRAVARTHI,Independent,279,5,284,0.15,Ichchapuram
699,1,SURYA VARA PRASADA RAO JANNELA,Independent,736,6,742,0.39,Ichchapuram
700,1,NOTA,None of the Above,4345,29,4374,2.32,Ichchapuram
701,52,JUTHUKA NAGESWARA RAO,Bahujan Samaj Party,690,6,696,0.36,Jaggampeta
702,52,JYOTHULA NEHRU,Telugu Desam,112591,1002,113593,58.56,Jaggampeta
703,52,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,60496,421,60917,31.4,Jaggampeta
704,52,MAROTHI SIVA GANESH,Indian National Congress,1448,9,1457,0.75,Jaggampeta
705,52,KOTHAPALLI SURIBABU,Republican Party of India (Khobragade),261,1,262,0.14,Jaggampeta
706,52,CHITTURI NAGA LAKSHMI,Pyramid Party of India,86,0,86,0.04,Jaggampeta
707,52,VALLURI SATYANANDAM,Jaibhim Rao Bharat Party,251,0,251,0.13,Jaggampeta
708,52,SADHE NARENDRABABU,Liberation Congress Party,473,1,474,0.24,Jaggampeta
709,52,KALDARI RANI,Independent,594,1,595,0.31,Jaggampeta
710,52,DOMMETI KUSALANNA,Independent,275,0,275,0.14,Jaggampeta
711,52,PATAMSETTI SURYACHANDRA,Independent,12467,64,12531,6.46,Jaggampeta
712,52,BALIREDDY SOLOMON RAJU,Independent,286,1,287,0.15,Jaggampeta
713,52,BODDETI APPARAO,Independent,297,1,298,0.15,Jaggampeta
714,52,DR. SANKUMALLA APPARAO,Independent,329,0,329,0.17,Jaggampeta
715,52,NOTA,None of the Above,1913,15,1928,0.99,Jaggampeta
716,84,APPARAO KARNATI,Indian National Congress,2516,11,2527,1.36,Jaggayyapeta
717,84,UDAYA BHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,81510,992,82502,44.38,Jaggayyapeta
718,84,KODAMALA PRABHUDAS,Bahujan Samaj Party,698,4,702,0.38,Jaggayyapeta
719,84,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,97272,1207,98479,52.98,Jaggayyapeta
720,84,RAMBABU GUDISA,Telugu Rajadhikara Samiti Party,211,0,211,0.11,Jaggayyapeta
721,84,AYALAPOGU VENKATESWARLU,Independent,76,1,77,0.04,Jaggayyapeta
722,84,KANDULA NARASIMHA RAO,Independent,28,0,28,0.02,Jaggayyapeta
723,84,GOPINADH . CHEKURI,Independent,22,0,22,0.01,Jaggayyapeta
724,84,JAMA. ANANDA RAO,Independent,16,1,17,0.01,Jaggayyapeta
725,84,JONNAKUTI AHARONU,Independent,33,0,33,0.02,Jaggayyapeta
726,84,BEROTHULA PRAKASA RAO,Independent,316,6,322,0.17,Jaggayyapeta
727,84,MEDEPALLI FRANSIS,Independent,45,0,45,0.02,Jaggayyapeta
728,84,VELPULA. VIJAY (KUMAR),Independent,149,0,149,0.08,Jaggayyapeta
729,84,NOTA,None of the Above,755,18,773,0.42,Jaggayyapeta
730,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,107875,1765,109640,51.43,Jammalamadugu
731,131,GUDISENAPALLI OBAIAH,Bahujan Samaj Party,1788,3,1791,0.84,Jammalamadugu
732,131,BRAMHANANDA REDDY PAMULA,Indian National Congress,4178,44,4222,1.98,Jammalamadugu
733,131,MULE SUDHEER REDDY,Yuvajana Sramika Rythu Congress Party,91563,886,92449,43.37,Jammalamadugu
734,131,CHINTHALA ESAIAH,Bharosa Party,270,1,271,0.13,Jammalamadugu
735,131,P. CHANDRA SEKHAR REDDY,Jaibhim Rao Bharat Party,224,1,225,0.11,Jammalamadugu
736,131,B. PULLA REDDY,Navarang Congress Party,112,0,112,0.05,Jammalamadugu
737,131,MUDRABOINA NAGABHOOSHANAM,Pyramid Party of India,104,0,104,0.05,Jammalamadugu
738,131,RAMESH YADDULA,Samajwadi Party,83,0,83,0.04,Jammalamadugu
739,131,ALLE PRABHAVATHI,Independent,706,4,710,0.33,Jammalamadugu
740,131,V. JAGADEESWARA REDDY,Independent,153,0,153,0.07,Jammalamadugu
741,131,RAMOOJI EMMANIYELU,Independent,88,1,89,0.04,Jammalamadugu
742,131,VEERA RAGHU VARDHAN REDDY CHADIPIRALLA,Independent,233,0,233,0.11,Jammalamadugu
743,131,VENKATA SUBBA REDDY THIMAREDDY,Independent,228,0,228,0.11,Jammalamadugu
744,131,C. SIVA NARAYANA REDDY,Independent,467,1,468,0.22,Jammalamadugu
745,131,NOTA,None of the Above,2359,33,2392,1.12,Jammalamadugu
746,126,T.K. AFZAL. ALI KHAN,Indian National Congress,24246,254,24500,12.86,Kadapa
747,126,AMZATH BASHA SHAIK BEPARI,Yuvajana Sramika Rythu Congress Party,70881,1247,72128,37.86,Kadapa
748,126,MADHAVI REDDAPPA GARI,Telugu Desam,87163,3825,90988,47.76,Kadapa
749,126,VENKATA SUBBA REDDY RAJU,Bahujan Samaj Party,359,1,360,0.19,Kadapa
750,126,AKBER MAHABOOB BASHA,Anna YSR Congress Party,115,1,116,0.06,Kadapa
751,126,AVVARU MALLIKARJUNA,Jaathia Chethi Vruthula Ikya Vedika Party,112,5,117,0.06,Kadapa
752,126,PATTUPOGULA PAVAN KUMAR,National Maha Sabha Party,275,10,285,0.15,Kadapa
753,126,SETTYPALLE SUBRAMANYAM,Reforms Party of India,101,4,105,0.06,Kadapa
754,126,SHAIK ALISHARE,Indian Union Muslim League,67,2,69,0.04,Kadapa
755,126,AHMED BASHA SHAIK BEPARI,Independent,80,5,85,0.04,Kadapa
756,126,LOMADA CHANDRA MOHAN REDDY,Independent,64,0,64,0.03,Kadapa
757,126,VEMPALLI DWARAKA NATH REDDY,Independent,111,0,111,0.06,Kadapa
758,126,SUDHAKAR PANETI,Independent,154,1,155,0.08,Kadapa
759,126,NOTA,None of the Above,1398,46,1444,0.76,Kadapa
760,161,KANDIKUNTA VENKATA PRASAD,Telugu Desam,101191,2419,103610,49.54,Kadiri
761,161,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,96229,1116,97345,46.54,Kadiri
762,161,Y. RAMACHANDRA,Bahujan Samaj Party,935,2,937,0.45,Kadiri
763,161,K.S. SHANWAZ,Indian National Congress,3269,45,3314,1.58,Kadiri
764,161,M. RAJENDRA,Pyramid Party of India,171,2,173,0.08,Kadiri
765,161,SHREESAILAM MURALI,Radical Party of India (Ambedkarist),77,1,78,0.04,Kadiri
766,161,KADIRISANI ESWARAIAH,Independent,93,1,94,0.04,Kadiri
767,161,G. KHAJAMAINUDDIN,Independent,117,0,117,0.06,Kadiri
768,161,TAMMUTA SURESH,Independent,98,0,98,0.05,Kadiri
769,161,PONTHALA PALAKONDAMA NAIDU,Independent,141,2,143,0.07,Kadiri
770,161,BANOTH SURESH NAIK,Independent,105,2,107,0.05,Kadiri
771,161,S. MAKBUL BASHA,Independent,227,1,228,0.11,Kadiri
772,161,YADALLA RAJESH KUMAR,Independent,389,0,389,0.19,Kadiri
773,161,NOTA,None of the Above,2497,22,2519,1.2,Kadiri
774,73,KAMINENI SRINIVAS,Bharatiya Janata Party,108311,969,109280,60.38,Kaikalur
775,73,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,63576,431,64007,35.36,Kaikalur
776,73,NAGESWARA RAO MANEPALLI,Bahujan Samaj Party,802,1,803,0.44,Kaikalur
777,73,BODDU NOBLE,Indian National Congress,2442,38,2480,1.37,Kaikalur
778,73,KAMATAM NIRIKSHANA RAO,Bharatha Chaitanya Yuvajana Party,253,0,253,0.14,Kaikalur
779,73,GONTHUPULUGU SATISH KUMAR,Jaibhim Rao Bharat Party,258,0,258,0.14,Kaikalur
780,73,LAVETI VEERA SIVAJI,All India Forward Bloc,210,3,213,0.12,Kaikalur
781,73,ALLUMOLU SOMESWARA RAO,Independent,356,0,356,0.2,Kaikalur
782,73,KOPPULA VIJAYA BABU,Independent,70,1,71,0.04,Kaikalur
783,73,KOTI SRINIVASA RAO,Independent,67,0,67,0.04,Kaikalur
784,73,BALI GANESH,Independent,79,0,79,0.04,Kaikalur
785,73,GUNUKULA NARAYANA,Independent,157,0,157,0.09,Kaikalur
786,73,CHENNAMSETTI SOMA SUNDARA RAO,Independent,130,1,131,0.07,Kaikalur
787,73,BODDU KIRAN KUMAR,Independent,178,1,179,0.1,Kaikalur
788,73,MADASU SATYANARAYANA,Independent,1052,7,1059,0.59,Kaikalur
789,73,NOTA,None of the Above,1588,10,1598,0.88,Kaikalur
790,41,KAMBHAM RAJU BABU,Bahujan Samaj Party,423,9,432,0.24,Kakinada City
791,41,CHEKKA NOOKARAJU,Indian National Congress,2100,38,2138,1.21,Kakinada City
792,41,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,55590,852,56442,31.86,Kakinada City
793,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,111068,1946,113014,63.78,Kakinada City
794,41,KATRU NAGABABU,Telugu Nava Garjana Party,325,2,327,0.18,Kakinada City
795,41,CHAKRAVARTHI GINJALA,Jaibhim Rao Bharat Party,107,2,109,0.06,Kakinada City
796,41,MUNAGALA SAI GOPI,Telugu Janata Party,100,0,100,0.06,Kakinada City
797,41,LEELA SURYA KIRAN YANAMANDRA,Pyramid Party of India,259,1,260,0.15,Kakinada City
798,41,M.VENKATESWARA RAO (BANDABABU),Navarang Congress Party,1708,2,1710,0.97,Kakinada City
799,41,V.VENKATESWARA RAO (KONDABABU),Jatiya Jana Sena Party,286,4,290,0.16,Kakinada City
800,41,KASIMKOTA CHANDRASEKHAR,Independent,118,0,118,0.07,Kakinada City
801,41,M.PRABHAKARA RAO,Independent,114,2,116,0.07,Kakinada City
802,41,B.BAIRAVASWAMY,Independent,138,1,139,0.08,Kakinada City
803,41,T.SRINIVASA RAO,Independent,372,0,372,0.21,Kakinada City
804,41,SATISH KUMAR,Independent,171,0,171,0.1,Kakinada City
805,41,NOTA,None of the Above,1419,27,1446,0.82,Kakinada City
806,38,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,61263,1111,62374,30.21,Kakinada Rural
807,38,PILLI SATYA LAKSHMI,Indian National Congress,2132,73,2205,1.07,Kakinada Rural
808,38,SADHANALA RAJU,Bahujan Samaj Party,291,21,312,0.15,Kakinada Rural
809,38,KORAMATI MAHARSHI,Telugu Nava Garjana Party,223,0,223,0.11,Kakinada Rural
810,38,DADALA BABJI,Jaibhim Rao Bharat Party,310,0,310,0.15,Kakinada Rural
811,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,131202,3212,134414,65.11,Kakinada Rural
812,38,PATNALA VENKATESWARARAO,Jatiya Jana Sena Party,479,1,480,0.23,Kakinada Rural
813,38,PALIVELA SWAROOP,Liberation Congress Party,345,2,347,0.17,Kakinada Rural
814,38,MELAM VEERASWAMY,Navarang Congress Party,2358,7,2365,1.15,Kakinada Rural
815,38,ANNAVARAM PITHANI,Independent,642,33,675,0.33,Kakinada Rural
816,38,ANYAM VISWESWARA RAO,Independent,171,1,172,0.08,Kakinada Rural
817,38,KARRI GOPALAKRISHNA,Independent,231,3,234,0.11,Kakinada Rural
818,38,CHAGANTI SURYANARAYANA MURTHY,Independent,161,0,161,0.08,Kakinada Rural
819,38,MADIPALLI RAJU,Independent,148,1,149,0.07,Kakinada Rural
820,38,VELUGUBANTLA VEERABHADRARAO,Independent,233,2,235,0.11,Kakinada Rural
821,38,NOTA,None of the Above,1744,39,1783,0.86,Kakinada Rural
822,154,AMILINENI SURENDRA BABU,Telugu Desam,117364,1514,118878,57.75,Kalyandurg
823,154,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,80353,791,81144,39.42,Kalyandurg
824,154,PERAMNETI RAMBHUPAL REDDY,Indian National Congress,2557,28,2585,1.26,Kalyandurg
825,154,HARIJANA NAGAMMA,Bahujan Samaj Party,434,6,440,0.21,Kalyandurg
826,154,BANGARU GIRIPRASAD REDDY,Andhra Rastra Praja Samithi,120,0,120,0.06,Kalyandurg
827,154,P.M.LAKSHMANA MURTHY,Jai Bharat National Party,135,0,135,0.07,Kalyandurg
828,154,HARIJANA VENKATESULU,Jaibhim Rao Bharat Party,135,0,135,0.07,Kalyandurg
829,154,KURUBA MUKKANNA,Independent,100,0,100,0.05,Kalyandurg
830,154,GANGURI SURESH,Independent,81,0,81,0.04,Kalyandurg
831,154,T. VISWANATH,Independent,84,0,84,0.04,Kalyandurg
832,154,NANEVATH BALARAM NAIK,Independent,96,2,98,0.05,Kalyandurg
833,154,BALIJA LAKSHMI NARAYANA,Independent,110,0,110,0.05,Kalyandurg
834,154,MEENUGA ASHOK,Independent,97,0,97,0.05,Kalyandurg
835,154,RAMESH EGITI,Independent,137,0,137,0.07,Kalyandurg
836,154,SREERANGARAJULA GOPINATH ROYAL,Independent,247,0,247,0.12,Kalyandurg
837,154,NOTA,None of the Above,1442,8,1450,0.7,Kalyandurg
838,130,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,93898,1309,95207,55.29,Kamalapuram
839,130,CHINNARIGANDLA BALA CHENNAIAH,Bahujan Samaj Party,2257,4,2261,1.31,Kamalapuram
840,130,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,69244,606,69850,40.56,Kamalapuram
841,130,GALI CHANDRA,Communist Party of India,1085,7,1092,0.63,Kamalapuram
842,130,NARREDDY KISHORE REDDY,Jai Swaraj Party,192,1,193,0.11,Kamalapuram
843,130,PAMUJULA SIVA RAMA BRAMHMAM GOUD,Pyramid Party of India,113,2,115,0.07,Kamalapuram
844,130,PUTHA NAGESHWARA REDDY,Young Senior Rich Common People Kings Party,85,1,86,0.05,Kamalapuram
845,130,MADHUSUDHANA REDDY GUMMALLA,Independent,74,0,74,0.04,Kamalapuram
846,130,YARAMALA ANITHA,Independent,144,1,145,0.08,Kamalapuram
847,130,RAJASEKHAR REDDY LINGALA,Independent,222,0,222,0.13,Kamalapuram
848,130,VEERANARAYANA REDDY RAJOLI,Independent,819,4,823,0.48,Kamalapuram
849,130,NOTA,None of the Above,2113,15,2128,1.24,Kamalapuram
850,109,INTURI NAGESWARA RAO,Telugu Desam,107546,1627,109173,52.8,Kandukur
851,109,GOUSE MOHIDDIN SYED,Indian National Congress,2281,19,2300,1.11,Kandukur
852,109,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,89733,882,90615,43.82,Kandukur
853,109,SATYANARAYANA PERAM,Bahujan Samaj Party,854,14,868,0.42,Kandukur
854,109,YENDLURI BALAKUMAR,Radical Party of India (Ambedkarist),108,1,109,0.05,Kandukur
855,109,GOLI PADMAJA,Liberation Congress Party,65,3,68,0.03,Kandukur
856,109,CHEKURI VENKATA KRISHNA RAO,Pyramid Party of India,75,2,77,0.04,Kandukur
857,109,JAGANADHAM SRINU,Neethi Nijayithi Party,47,0,47,0.02,Kandukur
858,109,PODAPATI SIVA KUMAR,Jai Bharat National Party,98,4,102,0.05,Kandukur
859,109,AKKILAGUNTA ESHAK,Independent,65,0,65,0.03,Kandukur
860,109,UNNAM RADHAMMA,Independent,60,0,60,0.03,Kandukur
861,109,GODUGU MALYADRI,Independent,73,0,73,0.04,Kandukur
862,109,CHALLA VENKATA MURALI KRISHNA,Independent,122,1,123,0.06,Kandukur
863,109,CHENNIBOINA NARASIMHAM,Independent,97,1,98,0.05,Kandukur
864,109,CHERUKURI JASHUVA,Independent,167,0,167,0.08,Kandukur
865,109,TATIKONDA RAMBABU,Independent,374,0,374,0.18,Kandukur
866,109,NETHI MAHESWARA RAO,Independent,492,1,493,0.24,Kandukur
867,109,PODAPATI HARIBABU,Independent,235,0,235,0.11,Kandukur
868,109,MUCHU SRINIVASULU,Independent,435,1,436,0.21,Kandukur
869,109,RATHIKRINDI VENU,Independent,119,0,119,0.06,Kandukur
870,109,SYED NASEEMA,Independent,73,0,73,0.04,Kandukur
871,109,SANGA SATYANARAYANA,Independent,73,0,73,0.04,Kandukur
872,109,NOTA,None of the Above,1010,15,1025,0.5,Kandukur
873,113,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,105303,1742,107045,51.93,Kanigiri
874,113,THATHAPUDI PRABHUDAS,Bahujan Samaj Party,1312,5,1317,0.64,Kanigiri
875,113,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,91518,923,92441,44.84,Kanigiri
876,113,DEVARAPALLI SUBBA REDDY,Indian National Congress,1820,18,1838,0.89,Kanigiri
877,113,ALLABAKSH SHAIK,Indian Union Muslim League,157,0,157,0.08,Kanigiri
878,113,DAMMU VENKATESH,Liberation Congress Party,119,1,120,0.06,Kanigiri
879,113,PANDITI ALLURAIAH,Pyramid Party of India,229,1,230,0.11,Kanigiri
880,113,SHAIK NAZIR BASHA,Samajwadi Party,124,0,124,0.06,Kanigiri
881,113,K KURSHEED,Independent,119,2,121,0.06,Kanigiri
882,113,SHAIK MASTAN VALI,Independent,105,0,105,0.05,Kanigiri
883,113,SHAIK SUBHAHAN,Independent,169,1,170,0.08,Kanigiri
884,113,SHAMSHIRA BHASHA MUPARLAPATI,Independent,262,0,262,0.13,Kanigiri
885,113,NOTA,None of the Above,2205,12,2217,1.08,Kanigiri
886,114,GUNJI VENKATESWARLU,Bahujan Samaj Party,616,14,630,0.32,Kavali
887,114,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,104271,2265,106536,53.27,Kavali
888,114,PODALAKURI KALYAN,Indian National Congress,2309,31,2340,1.17,Kavali
889,114,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,74520,1068,75588,37.8,Kavali
890,114,MUPPASANI NARENDRA,Jai Bharat National Party,315,1,316,0.16,Kavali
891,114,YELLU SALMAN,Radical Party of India (Ambedkarist),217,1,218,0.11,Kavali
892,114,SABBELLA VIJAYA BHASKARA REDDY,Pyramid Party of India,144,1,145,0.07,Kavali
893,114,ANUMALASETTY HARI PRASADA RAO,Independent,153,0,153,0.08,Kavali
894,114,GARRE SURESH BABU,Independent,217,0,217,0.11,Kavali
895,114,DEVARAPALLE KRISHNAREDDI,Independent,223,2,225,0.11,Kavali
896,114,PASUPULETI SUDHAKAR,Independent,10936,175,11111,5.56,Kavali
897,114,VAYILA TIRAPATHI,Independent,147,0,147,0.07,Kavali
898,114,VIDAVALAPATI SREENIVASULU,Independent,326,0,326,0.16,Kavali
899,114,NOTA,None of the Above,2008,22,2030,1.02,Kavali
900,143,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,79418,702,80120,40.56,Kodumur (SC)
901,143,JAIRAJ,Bahujan Samaj Party,1642,7,1649,0.83,Kodumur (SC)
902,143,BOGGULA DASTAGIRI,Telugu Desam,100178,1525,101703,51.49,Kodumur (SC)
903,143,P. MURALI KRISHNA,Indian National Congress,9728,107,9835,4.98,Kodumur (SC)
904,143,ANDE MEENA KUMARI,Anna YSR Congress Party,230,5,235,0.12,Kodumur (SC)
905,143,GADI DEVARAJU,Jai Bharat National Party,151,1,152,0.08,Kodumur (SC)
906,143,POLUDASARI AYYASWAMY,Jaathia Chethi Vruthula Ikya Vedika Party,125,0,125,0.06,Kodumur (SC)
907,143,MALLAPU RAJU,India Praja Bandhu Party,114,1,115,0.06,Kodumur (SC)
908,143,MASTIK NADIPI GUNDALU,Yuga Thulasi Party,205,0,205,0.1,Kodumur (SC)
909,143,KALABANDI CHANDRA SEKHAR,Independent,136,0,136,0.07,Kodumur (SC)
910,143,DWARAM SATEESH,Independent,115,0,115,0.06,Kodumur (SC)
911,143,E.BABY RADHA,Independent,303,1,304,0.15,Kodumur (SC)
912,143,B. BHASKAR,Independent,299,0,299,0.15,Kodumur (SC)
913,143,RAJU BANKA,Independent,371,0,371,0.19,Kodumur (SC)
914,143,NOTA,None of the Above,2149,20,2169,1.1,Kodumur (SC)
915,127,KORAMUTLA SREENIVASULU,Yuvajana Sramika Rythu Congress Party,67002,491,67493,43.88,Kodur (SC)
916,127,DEVI GOSALA,Indian National Congress,2113,19,2132,1.39,Kodur (SC)
917,127,SUBRAMANYAM TALLAPAKA,Bahujan Samaj Party,869,8,877,0.57,Kodur (SC)
918,127,ARAVA SREEDHAR,Janasena Party,77701,893,78594,51.1,Kodur (SC)
919,127,DARLA GOUTHAM KUMAR,Jaathia Chethi Vruthula Ikya Vedika Party,368,0,368,0.24,Kodur (SC)
920,127,MAHESH REDDYPAKU,Bharatha Chaitanya Yuvajana Party,519,3,522,0.34,Kodur (SC)
921,127,MANDAPALLI SRINIVASULU,Pyramid Party of India,144,0,144,0.09,Kodur (SC)
922,127,AMBATI SIVAIAH,Independent,267,2,269,0.17,Kodur (SC)
923,127,TUMMALA SURESH,Independent,263,1,264,0.17,Kodur (SC)
924,127,DAMARLA SIDDAIAH,Independent,272,4,276,0.18,Kodur (SC)
925,127,MANI MARELLA,Independent,286,0,286,0.19,Kodur (SC)
926,127,YEDUKA ANJI BABU,Independent,125,0,125,0.08,Kodur (SC)
927,127,LAKSHMI NARASAIAH PANDIKALLA,Independent,848,1,849,0.55,Kodur (SC)
928,127,LAKSHMI NARESH KAAKI,Independent,268,1,269,0.17,Kodur (SC)
929,127,SUBBANARASAIAH CHOUDVARAM,Independent,224,1,225,0.15,Kodur (SC)
930,127,NOTA,None of the Above,1097,15,1112,0.72,Kodur (SC)
931,110,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,91178,740,91918,42.96,Kondapi (SC)
932,110,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,115310,1364,116674,54.53,Kondapi (SC)
933,110,SUDHAKARA RAO PASUMARTHI,Indian National Congress,1652,14,1666,0.78,Kondapi (SC)
934,110,RAVINUTALA MATRIKA,Bahujan Samaj Party,714,14,728,0.34,Kondapi (SC)
935,110,KONDALA RAO AMBATI,Viduthalai Chiruthaigal Katchi,187,3,190,0.09,Kondapi (SC)
936,110,KANAPARTHI SIVARAM,Liberation Congress Party,67,3,70,0.03,Kondapi (SC)
937,110,VANGEPURAM KASIRAJU,Samajwadi Party,55,0,55,0.03,Kondapi (SC)
938,110,KANDIPATI VENKATA KRISHNA RAO,Jaibhim Rao Bharat Party,104,0,104,0.05,Kondapi (SC)
939,110,SRIKANTH CHOPPARA,Navarang Congress Party,109,0,109,0.05,Kondapi (SC)
940,110,MENDA BALAKOTAIAH,Pyramid Party of India,90,1,91,0.04,Kondapi (SC)
941,110,RAVURI LAKSMANARAO,Radical Party of India (Ambedkarist),109,6,115,0.05,Kondapi (SC)
942,110,JAMULLAMUDI POLAIAH,Independent,124,0,124,0.06,Kondapi (SC)
943,110,SRINIVASARAO BODDU,Independent,112,0,112,0.05,Kondapi (SC)
944,110,MAMIDI MAALYADRI,Independent,127,0,127,0.06,Kondapi (SC)
945,110,SUJATHA VIGHNAM,Independent,249,0,249,0.12,Kondapi (SC)
946,110,NOTA,None of the Above,1600,12,1612,0.75,Kondapi (SC)
947,47,ESWARA RAO ROUTHU,Indian National Congress,1146,23,1169,0.54,Kothapeta
948,47,KANDRU VENKATESWARA RAO,Bahujan Samaj Party,585,14,599,0.28,Kothapeta
949,47,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,77098,709,77807,35.75,Kothapeta
950,47,BANDARU SATYANANDA RAO,Telugu Desam,132951,1335,134286,61.7,Kothapeta
951,47,ARUNA KIRAN SATYALA,Jai Bharat National Party,429,1,430,0.2,Kothapeta
